date,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25
2012-12-17,['duke'],['michigan'],['syracuse'],['arizona'],['louisville'],['indiana'],['ohio-state'],['florida'],['kansas'],['illinois'],['cincinnati'],['missouri'],['minnesota'],['gonzaga'],['georgetown'],['new-mexico'],['creighton'],['san-diego-state'],['butler'],['michigan-state'],['nevada-las-vegas'],['notre-dame'],['north-carolina'],['oklahoma-state'],['north-carolina-state']
2012-12-24,['duke'],['michigan'],['arizona'],['louisville'],['indiana'],['kansas'],['missouri'],['cincinnati'],['syracuse'],['ohio-state'],['minnesota'],['illinois'],['gonzaga'],['florida'],['georgetown'],['creighton'],['san-diego-state'],['butler'],['michigan-state'],['nevada-las-vegas'],['notre-dame'],['oklahoma-state'],['north-carolina-state'],['pittsburgh'],['kansas-state']
2012-12-31,['duke'],['michigan'],['arizona'],['louisville'],['indiana'],['kansas'],['syracuse'],['ohio-state'],['minnesota'],['gonzaga'],['illinois'],['missouri'],['florida'],['cincinnati'],['georgetown'],['creighton'],['butler'],['michigan-state'],['san-diego-state'],['new-mexico'],['notre-dame'],['oklahoma-state'],['north-carolina-state'],['pittsburgh'],['kansas-state']
2013-01-07,['duke'],['michigan'],['louisville'],['arizona'],['indiana'],['kansas'],['syracuse'],['minnesota'],['gonzaga'],['missouri'],['florida'],['illinois'],['creighton'],['butler'],['ohio-state'],['san-diego-state'],['notre-dame'],['kansas-state'],['georgetown'],['north-carolina-state'],['cincinnati'],['michigan-state'],['wichita-state'],['nevada-las-vegas'],['new-mexico']
2013-01-14,['louisville'],['indiana'],['duke'],['kansas'],['michigan'],['syracuse'],['arizona'],['gonzaga'],['minnesota'],['florida'],['ohio-state'],['creighton'],['butler'],['north-carolina-state'],['san-diego-state'],['kansas-state'],['missouri'],['michigan-state'],['new-mexico'],['notre-dame'],['oregon'],['virginia-commonwealth'],['illinois'],['ucla'],['marquette']
2013-01-21,['duke'],['michigan'],"['kansas', 'syracuse']",[],['louisville'],['arizona'],['indiana'],['florida'],['butler'],['gonzaga'],['kansas-state'],['minnesota'],['michigan-state'],['ohio-state'],['new-mexico'],['oregon'],['creighton'],['north-carolina-state'],['virginia-commonwealth'],['wichita-state'],['cincinnati'],['missouri'],['mississippi'],['notre-dame'],['miami-fl']
2013-01-28,['michigan'],['kansas'],['indiana'],['florida'],['duke'],['syracuse'],['gonzaga'],['arizona'],['butler'],['oregon'],['ohio-state'],['louisville'],['michigan-state'],['miami-fl'],['wichita-state'],['mississippi'],['missouri'],['kansas-state'],['north-carolina-state'],['new-mexico'],['creighton'],['san-diego-state'],['minnesota'],['cincinnati'],['marquette']
2013-02-04,['indiana'],['florida'],['michigan'],['duke'],['kansas'],['gonzaga'],['arizona'],['miami-fl'],['syracuse'],['ohio-state'],['louisville'],['michigan-state'],['kansas-state'],['butler'],['new-mexico'],['creighton'],['cincinnati'],['minnesota'],['oregon'],['georgetown'],['missouri'],['oklahoma-state'],['pittsburgh'],['marquette'],['notre-dame']
2013-02-11,['indiana'],['duke'],['miami-fl'],['michigan'],['gonzaga'],['syracuse'],['florida'],['michigan-state'],['arizona'],['kansas-state'],['butler'],['louisville'],['ohio-state'],['kansas'],['georgetown'],['pittsburgh'],['oklahoma-state'],['marquette'],['new-mexico'],['wisconsin'],['notre-dame'],['memphis'],['oregon'],['colorado-state'],['kentucky']
2013-02-18,['indiana'],['miami-fl'],['gonzaga'],['michigan-state'],['florida'],['duke'],['michigan'],['syracuse'],['kansas'],['louisville'],['georgetown'],['arizona'],['kansas-state'],['oklahoma-state'],['butler'],['new-mexico'],['marquette'],['ohio-state'],['wisconsin'],['pittsburgh'],['memphis'],['colorado-state'],['oregon'],['virginia-commonwealth'],['notre-dame']
